Invoice ID,Invoice Name,Invoice Description,Invoice Amount,Invoice Date,Department,Project Name,Project Stage,Vendor Name,Recurring Expense?,Useful Life Expectancy,True Value,Record Owner
I-0359,Server Virtualization Software,Virtual machine management platform,28000,5/5/2025,Information Technology (IT),AI Software Development,Execution,VMware,FALSE,5,CapEx,
I-0360,Management Training Program,Leadership development for managers,12500,5/10/2025,Human Resources (HR),Employee Training Initiative,Execution,Management Excellence Institute,FALSE,1,OpEx,
I-0361,Digital Marketing Campaign,Online marketing initiatives,15000,5/15/2025,Marketing,AI Software Development,Execution,Digital Marketing Agency,FALSE,1,OpEx,
I-0362,Sales Forecasting Software,Predictive sales analytics tool,19000,5/20/2025,Sales,AI Software Development,Planning,Forecast Solutions,FALSE,3,CapEx,
I-0363,Office Renovation Project,Interior updates and improvements,52000,5/25/2025,Operations,Downtown Office Tower,Execution,Office Renovation Specialists,FALSE,10,CapEx,
I-0364,Financial Planning Software,Budgeting and analysis platform,15000,5/30/2025,Finance/Accounting,AI Software Development,Planning,Budget Master,FALSE,4,CapEx,
I-0365,Network Monitoring System,IT infrastructure monitoring solution,22000,6/5/2025,Information Technology (IT),AI Software Development,Execution,SolarWinds,FALSE,4,CapEx,
I-0366,Benefits Consulting Services,Employee benefits optimization,10500,6/10/2025,Human Resources (HR),Downtown Office Tower,Planning,Benefits Consulting Group,FALSE,1,OpEx,
I-0367,Email Marketing Platform,Customer email campaign management,8800,6/15/2025,Marketing,AI Software Development,Ongoing Maintenance,Mailchimp,TRUE,1,OpEx,
I-0368,Sales Enablement Platform,Sales team support and resources,18000,6/20/2025,Sales,AI Software Development,Execution,Highspot,FALSE,3,CapEx,
I-0369,HVAC Monitoring System,Remote system monitoring solution,16000,6/25/2025,Operations,HVAC System Upgrade,Execution,Remote Monitoring Solutions,FALSE,8,CapEx,
I-0370,Contract Management Software,Legal document management system,14000,6/30/2025,Legal,AI Software Development,Execution,Contract Solutions,FALSE,4,CapEx,
I-0371,Customer Service Chatbot,AI-powered customer support assistant,26000,7/5/2025,Customer Service,AI Software Development,Execution,Chatbot Technologies,FALSE,3,CapEx,
I-0372,Roof Maintenance Services,Preventive maintenance program,11000,7/10/2025,Operations,Annual Roof Inspection,Ongoing Maintenance,Roof Maintenance Specialists,TRUE,1,OpEx,
I-0373,Treasury Management System,Cash flow management platform,31000,7/15/2025,Finance/Accounting,AI Software Development,Execution,Treasury Solutions,FALSE,5,CapEx,
I-0374,Data Backup Solution,Enterprise backup and recovery system,35000,7/20/2025,Information Technology (IT),AI Software Development,Execution,Backup Systems Inc.,FALSE,5,CapEx,
I-0375,HR Analytics Platform,Workforce analytics and reporting,17000,7/25/2025,Human Resources (HR),AI Software Development,Planning,People Analytics,FALSE,4,CapEx,
I-0376,Product Photography Services,Professional product images,9500,7/30/2025,Marketing,AI Software Development,Execution,Professional Photography Studio,FALSE,1,OpEx,
I-0377,Sales Territory Analysis,Geographic market assessment,12500,8/5/2025,Sales,Downtown Office Tower,Planning,Territory Optimization Group,FALSE,1,OpEx,
I-0378,Emergency Response System,Safety system for building,20000,8/10/2025,Operations,Downtown Office Tower,Execution,Safety Systems Solutions,FALSE,10,CapEx,
I-0379,Compliance Management Software,Regulatory compliance tracking,23000,8/15/2025,Finance/Accounting,AI Software Development,Execution,Compliance Software Inc.,FALSE,4,CapEx,
I-0380,Video Conferencing System,Enterprise meeting solution,27000,8/20/2025,Information Technology (IT),Downtown Office Tower,Execution,Zoom Enterprise,FALSE,5,CapEx,
I-0381,Learning Management System,Online training and development platform,19000,8/25/2025,Human Resources (HR),Employee Training Initiative,Execution,Learning Solutions Inc.,FALSE,4,CapEx,
I-0382,Market Research Study,Customer segmentation analysis,15000,8/30/2025,Marketing,AI Software Development,Planning,Market Research Partners,FALSE,1,OpEx,
I-0383,Sales Incentive Software,Performance reward management system,16000,9/5/2025,Sales,AI Software Development,Planning,Incentive Solutions,FALSE,3,CapEx,
I-0384,HVAC Air Quality System,Air quality monitoring and improvement,11000,9/10/2025,Operations,HVAC System Upgrade,Execution,Air Quality Solutions,FALSE,7,CapEx,
I-0385,Document Management System,Electronic document storage and retrieval,18000,9/15/2025,Legal,AI Software Development,Execution,Document Systems Inc.,FALSE,4,CapEx,
I-0386,Customer Experience Consulting,CX improvement strategies,13500,9/20/2025,Customer Service,Downtown Office Tower,Planning,CX Consulting Group,FALSE,1,OpEx,
I-0387,Roof Waterproofing System,Water damage prevention solution,24000,9/25/2025,Operations,Annual Roof Inspection,Execution,Waterproofing Solutions,FALSE,10,CapEx,
I-0388,Expense Management Software,Employee expense tracking system,15000,9/30/2025,Finance/Accounting,AI Software Development,Execution,Expensify,FALSE,4,CapEx,
I-0389,IT Infrastructure Assessment,System architecture evaluation,17000,10/5/2025,Information Technology (IT),AI Software Development,Planning,Infrastructure Assessment Group,FALSE,1,OpEx,
I-0390,Performance Management Software,Employee performance tracking system,20000,10/10/2025,Human Resources (HR),AI Software Development,Execution,Performance Management Solutions,FALSE,4,CapEx,
I-0391,Trade Show Participation,Industry convention exhibition,28000,10/15/2025,Marketing,Downtown Office Tower,Execution,Trade Show Organizers,FALSE,1,OpEx,
I-0392,Sales Training Program,Advanced sales techniques training,10500,10/20/2025,Sales,Employee Training Initiative,Execution,Sales Training Experts,FALSE,1,OpEx,
I-0393,Access Control System,Building security and access management,35000,10/25/2025,Operations,Downtown Office Tower,Execution,Security Solutions Inc.,FALSE,8,CapEx,
I-0394,Software License Renewal,Annual renewal of project management software licenses,4500,3/1/2025,Information Technology (IT),AI Software Development,Execution,TechSoft Solutions,TRUE,1,OpEx,
I-0395,Office Furniture Purchase,Purchase of ergonomic desks and chairs for new office space,18700,2/15/2025,Human Resources (HR),Downtown Office Tower,Planning,Modern Office Furnishings,FALSE,7,CapEx,
I-0396,HVAC Installation,Installation of new heating and cooling system for north wing,87500,3/10/2025,Operations,HVAC System Upgrade,Execution,Climate Control Systems,FALSE,15,CapEx,
I-0397,Training Workshop,External consultant for leadership training workshop,12000,3/25/2025,Human Resources (HR),Employee Training Initiative,Planning,Leadership Excellence Inc.,FALSE,,OpEx,
I-0398,Marketing Campaign,Digital advertising campaign for Q2 product launch,35000,4/1/2025,Marketing,AI Software Development,Execution,Digital Marketing Partners,FALSE,,OpEx,
I-0399,Roof Inspection Services,Annual inspection and minor repairs of office building roof,9800,5/15/2025,Operations,Annual Roof Inspection,Ongoing Maintenance,Reliable Roofing Co.,TRUE,,OpEx,
I-0400,Legal Compliance Review,Review of software licensing agreements and privacy policies,22500,3/18/2025,Legal,AI Software Development,Planning,Hamilton Legal Associates,FALSE,,OpEx,
I-0401,Server Hardware Upgrade,Purchase and installation of new server infrastructure,67000,4/7/2025,Information Technology (IT),AI Software Development,Execution,Enterprise Systems Inc.,FALSE,5,CapEx,
I-0402,Customer Support Platform,Annual subscription for customer service management software,28000,2/28/2025,Customer Service,Employee Training Initiative,Execution,SupportHub Solutions,TRUE,1,OpEx,
I-0403,Building Security System,Installation of advanced security system for new office,54300,5/1/2025,Operations,Downtown Office Tower,Planning,SecureTech Systems,FALSE,10,CapEx,
